year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/28,AA,San Francisco,New York,-6,6,NO,NO,316,2586
2017,2017/1/22,AA,New York,San Francisco,21,5,NO,NO,391,2586
2017,2017/1/17,AA,Los Angeles,New York,-3,11,NO,NO,291,2475
2017,2017/1/13,AA,New York,Los Angeles,-6,30,NO,NO,358,2475
2017,2017/1/24,AA,Boston,New York,12,10,NO,NO,43,187
2017,2017/1/24,AA,New York,San Francisco,-3,3,NO,NO,344,2586
2017,2017/1/8,AA,Washington,New York,15,5,NO,NO,45,213
2017,2017/1/21,AA,New York,Los Angeles,-3,14,NO,NO,344,2475
2017,2017/1/15,AA,Los Angeles,New York,40,5,NO,NO,276,2475
2017,2017/1/25,AA,Chicago,New York,9,4,NO,NO,93,740
2017,2017/1/23,AA,New York,Los Angeles,70,37,NO,NO,350,2475
2017,2017/1/9,AA,San Francisco,New York,-3,8,NO,NO,315,2586
2017,2017/1/18,AA,New York,Los Angeles,-2,29,NO,NO,309,2475
2017,2017/1/15,AA,Los Angeles,New York,23,15,NO,NO,306,2475
2017,2017/1/12,AA,New York,San Francisco,-7,11,NO,NO,393,2586
2017,2017/1/11,AA,New York,San Francisco,-11,5,NO,NO,415,2586
2017,2017/1/9,AA,Los Angeles,New York,-3,8,NO,NO,281,2475
2017,2017/1/9,AA,New York,Los Angeles,37,8,NO,NO,351,2475
2017,2017/1/6,AA,Chicago,New York,-3,5,NO,NO,90,733
2017,2017/1/31,AA,Chicago,New York,38,4,NO,NO,94,733
2017,2017/1/25,AA,Boston,New York,-5,9,NO,NO,45,187
2017,2017/1/19,AA,New York,Boston,11,8,NO,NO,54,187
2017,2017/1/18,AA,New York,Los Angeles,-3,7,NO,NO,310,2475
2017,2017/1/5,AA,San Francisco,New York,-3,12,NO,NO,279,2586
2017,2017/1/24,AA,Chicago,New York,39,4,NO,NO,97,733
2017,2017/1/19,AA,New York,Chicago,-7,17,NO,NO,114,733
2017,2017/1/13,AA,Los Angeles,New York,-4,5,NO,NO,259,2475
2017,2017/1/7,AA,New York,Los Angeles,195,9,NO,NO,350,2475
2017,2017/1/1,AA,New York,Chicago,48,7,NO,NO,125,733
2017,2017/1/16,AA,New York,Chicago,-4,21,NO,NO,127,733
2017,2017/1/21,AA,New York,Boston,-5,6,NO,NO,45,187
2017,2017/1/12,AA,New York,Chicago,-4,10,NO,NO,137,733
2017,2017/1/14,AA,New York,Chicago,29,10,NO,NO,129,740
2017,2017/1/28,AA,New York,Chicago,-8,16,NO,NO,110,733
2017,2017/1/29,AA,New York,Chicago,-1,9,NO,NO,112,733
